Date,Bitcoin,Gold,SP500,Bitcoin_Norm,Gold_Norm,SP500_Norm,Bitcoin_Ret,Gold_Ret,SP500_Ret
2024-04-04,68508.84375,2288.800048828125,5147.2099609375,18045.074001033074,183.4121327069294,281.4097844054885,0.038314642609167615,-0.0024406615036484114,-0.012334336350379616
2024-04-05,67837.640625,2325.699951171875,5204.33984375,17868.28062083025,186.3690925291777,284.53320624516186,-0.009797320875087778,0.016121942308871873,0.011099194174331695
2024-04-06,68896.109375,2325.699951171875,5204.33984375,18147.07888797413,186.3690925291777,284.53320624516186,0.015602971156545964,0.0,0.0
2024-04-07,69362.5546875,2325.699951171875,5204.33984375,18269.939524948426,186.3690925291777,284.53320624516186,0.006770270726916605,0.0,0.0
2024-04-08,71631.359375,2331.699951171875,5202.39013671875,18867.537531845577,186.8499002768029,284.42661128605164,0.03270935878474601,0.0025798684808746586,-0.00037463099831791524
2024-04-09,69139.015625,2343.5,5209.91015625,18211.0598430835,187.795492759956,284.83774801664435,-0.03479403115822832,0.005060706383852809,0.0014454931932483817
2024-04-10,70587.8828125,2329.60009765625,5160.64013671875,18592.688172872764,186.68162930360447,282.1440429455153,0.0209558550176423,-0.00593125766748448,-0.009456980649108493
2024-04-11,70060.609375,2354.800048828125,5199.06005859375,18453.805545789066,188.701017930807,284.24454827049146,-0.007469744331340511,0.010817286278974603,0.007444797710585593
2024-04-12,67195.8671875,2356.199951171875,5123.41015625,17699.23895354062,188.81319857960594,280.1085944488266,-0.04088948430588779,0.000594488837575291,-0.01455068829580164
2024-04-13,63821.47265625,2356.199951171875,5123.41015625,16810.431090320948,188.81319857960594,280.1085944488266,-0.05021729270691988,0.0,0.0
2024-04-14,65738.7265625,2356.199951171875,5123.41015625,17315.43141908582,188.81319857960594,280.1085944488266,0.03004089104268326,0.0,0.0
2024-04-15,63426.2109375,2365.800048828125,5061.81982421875,16706.320050428832,189.58249880145326,276.74130961103856,-0.03517737178558533,0.00407439854647107,-0.01202135494776202
2024-04-16,63811.86328125,2390.800048828125,5051.41015625,16807.900002749084,191.5858644165584,276.17218916694355,0.006080330797783695,0.010567249760766284,-0.0020565070133361507
2024-04-17,61276.69140625,2371.699951171875,5022.2099609375,16140.141483036616,190.05528526097115,274.575747457775,-0.03972884891052719,-0.007988998354593546,-0.005780602724641426
2024-04-18,63512.75390625,2382.300048828125,5011.1201171875,16729.115272036448,190.90472010742266,273.96944024232,0.03649124077498622,0.004469409231556698,-0.002208160119998248
2024-04-19,63843.5703125,2398.39990234375,4967.22998046875,16816.25156283886,192.19487582507998,271.5698657145109,0.005208661031110617,0.006758113245871167,-0.00875854812743615
2024-04-20,64994.44140625,2398.39990234375,4967.22998046875,17119.388397670766,192.19487582507998,271.5698657145109,0.018026421268684478,0.0,0.0
2024-04-21,64926.64453125,2398.39990234375,4967.22998046875,17101.530854623066,192.19487582507998,271.5698657145109,-0.0010431180502996629,0.0,0.0
